crimedate,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2014-02-15,7,7,2,2014,28,77,138,4,10,1,45,135,14,18,26,5,3,21,0,1,29,1,1,0,0,1,1,0,0,0,0,0,0,76,4,0,639
2014-02-16,1,7,2,2014,16,75,118,4,8,1,36,125,18,16,19,9,7,21,0,0,28,0,2,0,0,0,3,0,0,1,0,0,0,75,3,0,585
2014-02-17,2,8,2,2014,33,62,99,6,6,3,34,146,16,15,23,8,4,27,0,1,36,0,3,0,0,0,1,0,0,0,0,0,0,70,5,0,598
2014-02-18,3,8,2,2014,57,39,110,4,3,1,40,138,14,15,24,8,4,32,0,0,38,0,6,0,1,2,1,0,0,0,0,0,0,94,1,0,632
2014-02-19,4,8,2,2014,37,70,133,5,1,2,30,156,22,13,24,13,6,21,1,1,49,0,7,1,0,2,0,0,0,0,0,0,0,114,2,0,710
2014-02-20,5,8,2,2014,38,63,112,4,5,2,45,142,25,13,20,7,4,29,0,1,48,1,4,0,3,1,2,0,0,0,0,0,0,77,2,0,648
2014-02-21,6,8,2,2014,42,73,127,2,5,0,51,179,17,15,19,3,4,29,0,0,40,2,6,0,0,1,0,0,0,0,0,0,0,102,1,0,718
2014-02-22,7,8,2,2014,32,62,144,1,6,1,40,129,19,23,11,9,3,38,0,3,37,2,2,0,0,0,1,0,0,0,0,0,0,81,3,0,647
2014-02-23,1,8,2,2014,33,65,136,4,5,1,30,128,30,16,24,5,5,26,0,0,23,0,2,0,0,1,1,0,0,0,0,0,0,95,1,0,631
2014-02-24,2,9,2,2014,43,44,96,1,4,5,37,144,21,20,27,1,10,40,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,88,0,1,634
2014-02-25,3,9,2,2014,48,46,124,4,3,1,33,145,20,19,21,6,3,29,1,1,38,0,7,0,0,0,1,0,0,0,0,0,0,95,4,0,649
2014-02-26,4,9,2,2014,39,69,101,5,7,0,50,141,15,23,21,5,3,40,1,0,38,0,2,0,1,0,0,0,0,0,0,0,0,96,5,0,662
2014-02-27,5,9,2,2014,39,43,106,1,4,2,32,130,16,15,25,4,4,45,0,1,58,1,4,0,0,0,0,0,0,0,0,0,0,82,1,0,613
2014-02-28,6,9,2,2014,48,61,123,1,12,3,46,148,17,25,36,5,4,37,0,0,37,3,5,0,0,1,2,0,0,0,0,0,0,84,2,0,700
2014-03-01,7,9,3,2014,100,71,124,2,19,5,52,140,16,18,31,5,2,25,0,0,47,2,1,0,0,0,1,0,0,0,0,0,0,66,10,0,737
2014-03-02,1,9,3,2014,37,54,129,5,5,2,30,95,6,9,27,5,3,22,1,0,34,2,1,0,1,1,0,0,0,0,0,0,0,78,4,0,551
2014-03-03,2,10,3,2014,50,45,107,0,8,0,54,95,22,21,28,7,3,24,0,1,40,0,1,0,1,0,1,0,0,0,0,0,0,82,4,0,594
2014-03-04,3,10,3,2014,43,57,106,4,6,5,49,117,26,18,19,4,5,19,0,0,50,1,1,0,2,1,0,0,0,0,0,0,0,92,2,0,627
2014-03-05,4,10,3,2014,52,54,104,1,4,2,33,150,22,15,25,2,5,31,0,1,35,0,3,0,1,1,2,0,0,0,0,0,0,93,1,0,637
2014-03-06,5,10,3,2014,42,52,107,5,3,1,54,143,24,17,15,9,6,36,1,1,41,0,1,0,0,1,1,0,0,0,0,0,0,99,2,0,661
2014-03-07,6,10,3,2014,50,66,127,3,7,1,55,165,30,23,19,11,11,41,0,1,41,1,2,0,1,1,0,1,0,0,0,0,0,96,4,0,757
2014-03-08,7,10,3,2014,52,74,119,4,10,1,39,145,27,19,22,8,9,26,0,5,42,0,0,0,0,1,1,0,0,0,0,0,0,78,2,0,684
2014-03-09,1,10,3,2014,27,78,131,1,5,0,31,121,22,21,16,10,11,13,1,3,43,1,0,0,0,0,1,0,0,1,0,0,0,79,5,0,621
2014-03-10,2,11,3,2014,53,88,124,2,4,2,49,178,31,24,30,14,11,33,0,0,58,1,0,0,0,2,1,2,0,0,0,0,0,102,6,0,815
2014-03-11,3,11,3,2014,45,55,131,3,8,1,54,115,20,16,30,7,6,38,0,0,62,1,5,1,1,0,1,0,0,0,0,0,0,94,4,0,698
2014-03-12,4,11,3,2014,55,68,90,5,5,5,51,128,27,13,30,3,3,30,1,1,44,0,7,0,0,0,0,0,0,0,0,0,0,92,2,0,660
2014-03-13,5,11,3,2014,66,59,119,2,6,3,54,138,36,23,29,4,7,23,1,1,41,0,5,0,0,0,0,0,0,0,0,0,0,99,2,0,718
2014-03-14,6,11,3,2014,75,82,145,5,9,0,46,174,27,19,33,16,12,44,1,3,50,1,3,0,0,1,0,0,0,0,0,0,0,80,1,0,827
2014-03-15,7,11,3,2014,56,104,184,2,10,6,46,177,22,25,24,14,8,32,0,1,43,2,9,0,0,1,1,1,0,0,0,0,0,71,5,0,844
2014-03-16,1,11,3,2014,31,82,160,2,7,2,32,128,14,17,26,2,8,21,0,1,38,0,1,0,0,0,0,0,0,0,0,0,0,62,4,0,638
2014-03-17,2,12,3,2014,66,67,112,2,7,1,41,152,21,15,24,9,9,43,1,0,45,0,2,0,0,2,0,0,0,0,0,0,0,84,2,0,705
2014-03-18,3,12,3,2014,43,83,142,5,7,1,60,176,27,34,29,7,4,49,1,0,47,2,3,1,0,2,1,0,0,0,0,0,0,92,2,0,818
2014-03-19,4,12,3,2014,66,75,118,2,3,2,59,170,33,21,24,4,9,34,0,1,42,1,1,0,0,2,2,0,0,0,0,0,0,89,3,0,761
2014-03-20,5,12,3,2014,58,68,134,2,7,1,50,143,24,20,37,10,10,41,0,0,54,1,9,1,0,0,0,0,0,0,0,0,0,107,6,0,783
2014-03-21,6,12,3,2014,66,65,147,0,11,2,46,159,21,27,26,8,9,46,0,2,65,3,6,0,0,2,1,1,1,0,0,0,0,84,3,0,801
2014-03-22,7,12,3,2014,40,81,151,2,6,4,42,159,17,27,31,6,11,34,0,0,34,0,3,0,0,0,1,0,1,0,0,0,0,83,4,0,737
2014-03-23,1,12,3,2014,31,68,143,3,9,3,38,132,20,12,30,6,5,26,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,647
2014-03-24,2,13,3,2014,51,58,119,2,8,1,41,145,12,20,35,10,3,45,0,0,54,1,0,1,0,1,2,0,0,0,0,0,0,86,2,0,697
2014-03-25,3,13,3,2014,58,65,102,8,2,2,44,159,27,22,35,4,5,41,0,1,30,0,8,0,1,0,0,0,0,0,0,0,0,85,1,0,700
2014-03-26,4,13,3,2014,61,60,120,3,5,1,35,149,20,17,40,4,4,41,1,0,53,0,4,1,0,0,1,0,0,0,0,0,0,101,3,0,724
2014-03-27,5,13,3,2014,54,65,109,2,10,3,39,158,24,15,34,3,8,59,0,0,41,0,8,1,0,0,1,0,0,0,0,0,0,82,3,0,719
2014-03-28,6,13,3,2014,49,86,131,7,7,2,51,155,20,35,41,11,4,49,1,0,39,1,4,1,0,1,1,0,0,0,0,0,0,88,2,0,786
2014-03-29,7,13,3,2014,36,99,153,1,9,3,39,153,17,23,39,6,10,33,2,1,43,0,7,0,0,1,2,0,0,1,0,0,0,89,4,0,771
2014-03-30,1,13,3,2014,34,104,157,7,9,1,43,149,21,16,40,7,5,19,0,0,41,0,1,2,1,0,2,0,0,0,0,0,0,75,4,0,738
2014-03-31,2,14,3,2014,55,74,131,0,5,1,45,148,27,22,41,14,18,36,0,0,51,2,1,3,0,1,2,0,0,0,0,0,0,58,1,0,736
2014-04-01,3,14,4,2014,116,91,125,5,17,6,64,212,22,15,24,6,9,35,0,0,53,1,8,2,2,0,0,0,0,0,0,0,0,101,8,0,922
2014-04-02,4,14,4,2014,52,72,136,2,6,5,40,134,29,27,18,6,7,30,0,3,38,0,10,1,0,0,1,0,0,1,0,0,0,103,4,0,725
2014-04-03,5,14,4,2014,40,63,108,8,9,1,47,180,19,17,20,12,4,38,0,0,41,1,1,0,0,1,0,0,0,0,0,0,0,100,5,0,715
2014-04-04,6,14,4,2014,51,88,136,4,6,1,51,175,27,22,24,7,8,54,1,2,45,0,3,0,1,0,5,0,0,0,0,0,0,95,5,0,811
2014-04-05,7,14,4,2014,35,94,156,2,7,0,44,177,15,26,18,4,10,29,1,0,40,2,6,1,0,0,0,0,0,0,0,0,0,81,4,0,752
2014-04-06,1,14,4,2014,26,92,165,3,6,3,43,134,19,16,18,8,18,19,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,85,4,0,709
2014-04-07,2,15,4,2014,49,66,132,4,4,6,62,154,21,22,36,11,5,45,0,1,43,1,2,1,0,1,0,0,0,0,0,0,0,93,3,0,762
2014-04-08,3,15,4,2014,41,74,131,4,10,1,48,149,19,22,19,9,12,44,0,2,44,0,6,1,1,0,1,0,0,2,0,0,0,104,4,0,748
2014-04-09,4,15,4,2014,40,75,141,7,10,3,66,139,23,16,22,7,12,40,0,2,53,1,7,5,0,1,0,0,0,0,0,0,0,105,1,0,776
2014-04-10,5,15,4,2014,51,77,126,2,4,3,51,166,31,29,29,13,10,40,1,1,57,0,11,1,0,2,1,1,0,0,0,0,0,100,3,1,811
2014-04-11,6,15,4,2014,45,69,150,3,10,2,41,149,21,19,26,16,12,36,0,4,48,3,18,3,0,0,2,0,0,0,0,0,0,105,3,0,785
2014-04-12,7,15,4,2014,51,99,208,8,4,6,47,158,19,32,27,10,18,33,1,3,47,0,7,2,0,0,2,0,0,0,0,0,0,79,11,0,872
2014-04-13,1,15,4,2014,31,88,166,7,9,4,40,122,17,29,19,4,8,28,1,1,42,2,1,0,0,0,1,0,0,0,0,0,0,54,5,0,679
2014-04-14,2,16,4,2014,55,81,120,1,5,1,48,151,18,25,29,3,5,39,0,0,38,1,1,0,0,0,1,0,0,0,0,0,0,61,5,0,688
2014-04-15,3,16,4,2014,59,82,99,2,7,2,74,153,18,31,38,0,9,33,0,0,44,1,7,0,0,0,1,0,0,0,0,0,0,87,1,0,748
2014-04-16,4,16,4,2014,62,76,126,4,7,3,64,190,14,25,21,7,5,39,0,0,40,0,4,1,0,0,0,0,0,0,0,0,0,83,1,0,772
2014-04-17,5,16,4,2014,43,85,115,2,5,7,64,167,30,27,22,5,8,43,0,2,48,0,4,5,0,0,2,0,0,0,0,0,0,151,1,0,836
2014-04-18,6,16,4,2014,49,84,138,4,6,0,53,184,22,35,24,6,8,50,0,1,36,0,0,1,0,0,0,0,0,0,0,0,0,83,3,0,787
2014-04-19,7,16,4,2014,35,96,137,4,6,2,40,164,17,35,21,7,8,31,0,1,44,6,3,1,0,1,0,0,0,0,0,0,0,90,5,0,754
2014-04-20,1,16,4,2014,22,88,166,5,7,7,45,123,11,22,17,11,7,32,0,1,40,3,1,2,0,1,1,0,0,0,0,0,0,70,7,0,689
2014-04-21,2,17,4,2014,54,76,131,6,4,2,44,157,21,20,21,11,10,34,0,0,52,0,1,0,0,0,1,0,1,0,0,0,0,79,5,0,730
2014-04-22,3,17,4,2014,45,59,141,2,3,2,47,172,21,29,26,8,6,27,0,1,42,0,8,5,0,1,1,0,0,0,0,0,0,90,0,0,736
2014-04-23,4,17,4,2014,51,75,124,5,7,1,40,169,22,22,31,5,10,42,0,0,47,1,5,0,3,1,0,0,0,0,0,0,0,73,3,0,737
2014-04-24,5,17,4,2014,47,95,129,2,9,1,44,167,31,19,27,6,13,37,0,2,56,2,6,1,0,0,4,0,0,0,0,0,0,69,2,0,769
2014-04-25,6,17,4,2014,48,94,159,2,12,2,46,187,22,25,24,10,14,40,0,1,59,0,4,1,0,1,1,0,0,0,0,0,0,94,2,0,848
2014-04-26,7,17,4,2014,33,90,174,2,2,4,38,176,24,33,15,9,12,34,0,1,44,4,2,0,0,0,2,0,0,0,0,0,0,76,3,0,778
2014-04-27,1,17,4,2014,23,70,153,1,4,2,43,130,22,21,21,9,4,37,0,1,43,2,2,2,1,0,2,0,0,0,0,0,0,78,1,0,672
2014-04-28,2,18,4,2014,52,82,128,2,5,0,43,155,15,25,25,6,10,43,0,0,46,3,1,0,0,1,2,0,0,0,0,0,0,78,2,0,724
2014-04-29,3,18,4,2014,46,67,124,4,2,3,68,177,29,15,19,9,5,51,0,0,71,1,6,0,2,1,1,2,0,0,0,0,0,81,4,0,788
2014-04-30,4,18,4,2014,48,82,143,5,7,3,56,164,24,25,21,13,6,41,0,1,58,1,6,0,0,0,0,0,1,0,0,0,0,86,7,0,798
2014-05-01,5,18,5,2014,105,65,142,4,13,8,61,177,19,25,23,10,5,39,2,1,58,1,4,0,1,0,2,0,0,0,0,0,0,105,7,0,877
2014-05-02,6,18,5,2014,48,86,154,4,8,2,52,179,25,39,22,9,13,43,1,3,68,0,1,1,0,0,1,1,0,0,0,0,0,100,4,0,864
2014-05-03,7,18,5,2014,38,81,159,7,3,3,37,154,21,29,27,8,16,37,0,2,48,1,2,3,0,1,0,0,0,0,0,0,0,61,7,0,745
2014-05-04,1,18,5,2014,26,85,140,2,6,4,54,150,20,25,25,12,12,35,1,0,53,3,1,1,1,1,1,0,0,0,0,0,0,60,3,0,721
2014-05-05,2,19,5,2014,77,87,146,6,2,3,58,201,17,26,22,5,7,28,0,1,47,1,2,1,0,0,3,0,0,0,0,0,0,103,2,0,845
2014-05-06,3,19,5,2014,45,76,146,4,7,0,68,165,29,30,19,11,9,44,0,1,55,2,7,1,1,0,0,0,0,0,0,0,0,98,7,0,825
2014-05-07,4,19,5,2014,30,64,144,5,4,2,51,160,23,25,21,8,12,61,0,0,50,0,9,1,2,0,0,0,0,0,0,0,0,95,2,0,769
2014-05-08,5,19,5,2014,36,73,150,2,6,6,58,157,13,28,23,16,6,31,0,3,56,0,3,0,0,0,2,0,0,0,0,0,0,95,3,0,767
2014-05-09,6,19,5,2014,37,94,176,4,13,3,62,178,24,9,29,14,10,39,1,3,49,2,4,3,1,1,0,0,0,0,0,0,0,103,4,0,863
2014-05-10,7,19,5,2014,27,87,190,4,9,1,45,162,19,29,32,9,9,39,1,0,47,2,1,1,0,3,0,0,0,0,0,0,0,96,4,0,817
2014-05-11,1,19,5,2014,27,79,213,3,4,4,43,142,22,22,16,8,16,31,0,0,48,1,9,0,1,1,1,1,0,0,0,0,0,49,3,0,744
2014-05-12,2,20,5,2014,33,77,182,3,4,7,53,181,17,22,29,10,14,37,1,0,67,0,0,0,2,1,3,1,0,0,0,0,0,64,5,0,813
