crimedate,weekday,dayofmonth,julian_date,weekno,month,quarter,year,temp,dewp,slp,visib,wdsp,mxpsd,prcp,sndp,fog,num_crimes
2016-05-10,3,10,131,19,5,2,2016,57.4,54.1,1012.0,3.1,9.7,13.0,0.58,0.0,0,713
2016-12-31,7,31,366,52,12,4,2016,37.4,20.7,1005.7,10.0,13.4,17.1,0.0,0.0,0,704
2016-12-30,6,30,365,52,12,4,2016,30.9,16.6,1017.2,10.0,10.9,15.0,0.0,0.0,0,741
2016-01-13,4,13,13,2,1,1,2016,9.0,-0.1,1021.3,9.9,8.2,12.0,0.0,2.0,0,653
2016-04-07,5,07,98,14,4,2,2016,41.3,33.4,1004.8,8.4,11.9,19.0,0.38,0.0,0,742
2016-05-04,4,04,125,18,5,2,2016,52.2,39.0,1006.9,9.0,11.9,19.0,0.4,0.0,0,682
2016-06-14,3,14,166,24,6,2,2016,77.2,58.5,1010.4,10.0,7.3,14.0,0.0,0.0,0,835
2016-04-19,3,19,110,16,4,2,2016,55.9,40.0,1022.6,10.0,8.7,15.9,0.0,0.0,0,703
2016-09-14,4,14,258,37,9,3,2016,71.6,58.7,1021.6,10.0,9.3,13.0,0.01,0.0,0,820
2016-03-09,4,09,69,10,3,1,2016,62.1,53.8,1010.8,9.7,9.4,14.0,0.06,0.0,0,679
2016-07-31,1,31,213,30,7,3,2016,74.4,64.2,1015.5,10.0,7.1,12.0,0.0,0.0,0,813
2016-01-18,2,18,18,3,1,1,2016,2.8,-10.8,1027.3,10.0,11.5,17.1,0.0,0.0,0,515
2016-07-28,5,28,210,30,7,3,2016,78.8,66.9,1011.4,9.5,4.4,14.0,0.0,0.0,0,774
2016-12-01,5,01,336,48,12,4,2016,38.9,30.4,1008.8,9.8,12.4,15.9,0.0,0.0,0,821
2016-05-17,3,17,138,20,5,2,2016,55.4,41.3,1022.2,10.0,8.4,14.0,0.0,0.0,0,692
2016-07-14,5,14,196,28,7,3,2016,76.5,64.8,1010.2,8.9,12.0,25.1,0.35,0.0,0,769
2016-01-30,7,30,30,4,1,1,2016,39.9,29.0,1006.1,10.0,8.9,15.0,0.0,0.0,0,742
2016-10-22,7,22,296,42,10,4,2016,48.0,32.2,1019.4,10.0,6.2,11.1,0.0,0.0,0,773
2016-08-31,4,31,244,35,8,3,2016,74.6,62.7,1016.7,10.0,8.8,18.1,0.17,0.0,0,779
2016-09-03,7,03,247,35,9,3,2016,70.2,55.4,1022.1,10.0,6.5,11.1,0.0,0.0,0,829
2016-03-04,6,04,64,9,3,1,2016,31.9,19.4,1022.5,9.8,7.2,14.0,0.01,1.2,0,702
2016-01-06,4,06,6,1,1,1,2016,31.1,20.3,1027.6,10.0,7.0,11.1,0.0,1.2,0,626
2016-02-05,6,05,36,5,2,1,2016,30.5,20.7,1027.6,9.5,6.3,9.9,0.0,0.0,0,660
2016-01-04,2,04,4,1,1,1,2016,28.5,17.3,1029.7,9.8,10.5,17.1,0.0,2.0,0,625
2016-01-31,1,31,31,4,1,1,2016,44.6,39.2,1002.8,8.1,7.6,12.0,0.0,0.0,0,665
2016-05-28,7,28,149,21,5,2,2016,75.1,64.2,1010.8,9.6,12.8,20.0,0.14,0.0,0,791
2016-08-23,3,23,236,34,8,3,2016,73.6,58.0,1021.0,10.0,8.5,14.0,0.0,0.0,0,752
2016-11-12,7,12,317,45,11,4,2016,45.3,31.1,1030.6,10.0,7.1,12.0,0.0,0.0,0,781
2015-01-05,2,05,5,2,1,1,2015,4.5,-5.8,1036.3,10.0,11.3,15.0,0.03,1.2,0,523
2015-01-07,4,07,7,2,1,1,2015,5.4,-6.8,1035.8,10.0,15.4,21.0,0.0,2.0,0,474
2015-01-10,7,10,10,2,1,1,2015,8.0,-1.7,1031.8,10.0,11.6,15.9,0.0,2.0,0,647
2015-01-11,1,11,11,2,1,1,2015,27.7,16.7,1026.4,9.2,10.0,14.0,0.0,3.1,0,649
2015-01-25,1,25,25,4,1,1,2015,34.1,30.2,1007.8,6.4,10.3,20.0,0.0,1.2,0,646
2015-01-27,3,27,27,5,1,1,2015,29.3,22.5,1019.7,5.8,6.1,11.1,0.04,1.2,0,675
2015-01-30,6,30,30,5,1,1,2015,29.7,13.3,1030.9,9.8,9.2,18.1,0.0,0.0,0,714
2015-02-05,5,05,36,6,2,1,2015,11.4,0.2,1032.0,10.0,7.1,13.0,0.0,15.0,0,572
2015-02-11,4,11,42,7,2,1,2015,32.6,24.3,1017.9,8.9,10.0,15.9,0.0,3.1,0,606
