weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
6,8,2001-02-23,44,120,219,0,7,1,100,243,29,36,59,11,8,64,1,4,70,2,15,0,2,2,0,0,0,0,0,0,0,159,5,0,1201
7,8,2001-02-24,32,167,239,1,6,4,73,250,32,54,73,3,9,50,1,2,48,3,18,0,0,2,2,0,0,0,0,0,0,162,6,0,1237
1,8,2001-02-25,15,177,252,1,7,4,76,213,35,34,56,6,12,49,1,3,58,1,11,1,0,1,3,0,0,0,0,0,0,142,4,0,1162
2,9,2001-02-26,31,138,236,0,3,6,87,222,37,38,65,7,10,70,5,6,79,0,9,3,0,3,2,0,0,0,0,0,0,145,2,0,1204
3,9,2001-02-27,50,123,216,0,3,5,94,233,33,42,56,16,8,89,1,4,92,1,19,4,1,2,0,0,0,0,0,0,0,146,9,0,1247
4,9,2001-02-28,47,119,214,2,5,4,90,259,36,29,72,6,9,58,1,3,84,1,17,0,1,6,2,0,0,0,0,0,0,154,7,0,1226
5,9,2001-03-01,61,184,237,0,19,14,143,362,45,53,65,10,10,74,1,5,97,2,18,1,3,1,4,0,0,0,0,0,0,173,11,0,1593
6,9,2001-03-02,42,173,257,1,5,5,90,260,50,43,50,4,15,71,1,9,115,0,14,3,0,6,2,0,0,0,0,1,0,176,4,0,1397
7,9,2001-03-03,29,157,270,2,5,8,82,242,46,55,75,4,15,56,0,3,61,3,15,2,0,1,8,0,0,0,0,0,0,175,9,0,1323
1,9,2001-03-04,18,155,258,1,6,2,86,180,28,52,70,13,9,42,0,1,73,2,13,2,0,2,2,0,0,0,0,0,0,141,6,0,1162
2,10,2001-03-05,48,130,184,0,4,5,102,279,25,32,58,3,7,49,0,3,65,1,12,3,0,4,3,0,0,0,0,0,0,213,2,0,1232
3,10,2001-03-06,61,119,234,0,6,1,89,232,39,40,64,17,13,47,0,5,95,0,24,3,1,2,3,0,0,0,0,0,0,152,1,0,1248
4,10,2001-03-07,59,152,247,0,3,3,80,277,40,42,85,10,18,51,0,4,102,1,15,2,0,1,2,0,0,0,0,0,0,171,4,0,1369
5,10,2001-03-08,56,138,252,0,15,7,83,262,50,35,74,8,15,80,1,1,90,1,26,0,1,2,3,0,0,0,0,0,0,149,7,0,1356
6,10,2001-03-09,39,153,250,2,8,5,97,286,40,59,74,6,20,69,1,5,103,1,33,1,0,4,6,0,0,0,0,0,0,154,4,0,1420
7,10,2001-03-10,34,135,269,1,3,1,78,286,29,43,66,11,7,43,0,2,76,5,12,3,0,2,4,0,0,0,0,0,0,151,6,0,1267
1,10,2001-03-11,24,154,267,2,7,5,87,190,26,45,74,6,5,44,0,3,87,1,9,0,0,2,3,0,0,0,0,0,0,100,3,0,1144
2,11,2001-03-12,40,128,246,0,4,7,102,255,37,43,44,4,8,70,2,8,80,1,9,3,0,2,3,0,0,0,0,0,0,162,6,0,1264
3,11,2001-03-13,47,143,217,1,4,7,90,251,36,39,63,7,12,68,0,2,102,1,17,1,1,2,3,0,0,0,0,0,0,174,3,0,1291
